Campaign_ID,Campaign_Name,Marketing_Channel,Start_Date,End_Date,Impressions,Clicks,Conversions,Total_Spend,Revenue_Generated,Location,Age_Group,Gender
CMP1,Seasonal Steals,Influencer Marketing,2022-08-01,2024-04-26,22068.8,3283.2,2155.2,2316.656,8879.568,Baia Mare,25-34,Male
CMP2,Cart to Couch,Influencer Marketing,2022-09-18,2024-05-12,32849.6,3307.2,3164.8,7114.128,17302.032,Baia Mare,25-34,Male
CMP3,Deal of the Day,Paid Ads,2022-07-26,2024-04-07,12748.8,7494.4,7334.4,3358.448,4892.416,Galați,45-54,Female
CMP4,Shop & Share,Paid Ads,2022-08-21,2024-04-26,40196.8,21150.4,3032,4426.976,16548.544,Galați,18-24,Male
CMP5,Seasonal Steals,Paid Ads,2023-03-04,2024-11-04,4030.4,2806.4,2556.8,2331.776,3538.224,Galați,45-54,Male
CMP6,Seasonal Steals,Influencer Marketing,2023-01-02,2024-09-17,76406.4,41544,31019.2,169.472,559.84,Bacău,45-54,Male
CMP7,Wishlist Wonders,Email,2022-07-31,2024-03-26,23641.6,20963.2,20100.8,7501.024,10119.792,Bacău,45-54,Male
CMP8,Seasonal Steals,Influencer Marketing,2022-05-18,2024-01-20,59968,57536,51075.2,7622.88,16616.816,Târgu Mureș,55+,Male
CMP9,Cart to Couch,Email,2023-01-16,2024-10-04,18625.6,11414.4,7296,2765.632,9446.56,Galați,18-24,Female
CMP10,Flash Sale Frenzy,Social Media,2022-05-18,2024-01-26,67654.4,8792,294.4,1008.992,3153.488,Târgu Mureș,45-54,Female
CMP11,Wishlist Wonders,Influencer Marketing,2022-09-28,2024-05-23,17712,16457.6,12174.4,7745.536,28954,Galați,35-44,Male
CMP12,Deal of the Day,Influencer Marketing,2022-05-11,2024-01-15,68145.6,51972.8,46969.6,2790.032,7765.088,Bacău,55+,Male
CMP13,Cart to Couch,Influencer Marketing,2023-02-15,2024-11-05,31806.4,2144,902.4,2035.264,6360.464,Baia Mare,35-44,Male
CMP14,Seasonal Steals,Influencer Marketing,2023-01-06,2024-09-23,19315.2,18401.6,16984,2242.352,8380.224,Baia Mare,35-44,Female
CMP15,Wishlist Wonders,Email,2022-08-22,2024-04-21,19691.2,14049.6,4806.4,2096.944,5969.664,Galați,45-54,Male
